,Title,Genre, Meta Score
174,3 Dancing Slaves,Drama,4.6000000000000005
175,White on Rice,Comedy,4.5
176,Rosencrantz and Guildenstern Are Undead,Comedy,4.5
177,Where Hands Touch,"Drama,Romance,War",4.4
178,Dough,"Drama,Comedy",4.4
179,The Closer You Get,Comedy,4.4
180,The Young Unknowns,Drama,4.3
181,Breaking the Girls,"Thriller,Crime",4.2
182,Midnight Eagle,Action,4.2
183,Killerman,"Action,Drama,Mystery,Thriller,Crime",4.2
184,The Toxic Avenger,"Action,Sci-Fi,Horror,Comedy",4.2
185,White Rabbit,Drama,4.1000000000000005
186,A Dark Place,"Mystery,Thriller",4.1000000000000005
187,Sal,"Biography,Drama",4.1000000000000005
188,Being Frank,Comedy,4.1000000000000005
189,Sarah Palin: You Betcha!,Documentary,4.1000000000000005
190,Hate Crime,"Drama,Mystery,Thriller,Crime",4.1000000000000005
191,Never Been Thawed,Comedy,4.1000000000000005
192,The Forgiven,Thriller,4.1000000000000005
193,Ceremony,Comedy,4.0
194,Nightbreed,"Action,Fantasy,Horror",4.0
195,From the Land of the Moon,"Drama,Romance",4.0
196,Twist,Drama,3.9000000000000004
197,Confusion of Genders,"Drama,Comedy,Romance",3.9000000000000004
198,Psychopaths,Horror,3.7
199,Stardom,"Drama,Comedy",3.6
200,Swing,"Fantasy,Comedy,Romance",3.6
201,Action Jackson,"Action,Thriller,Comedy,Crime",3.6
202,Circuit,Drama,3.6
203,We'll Never Have Paris,"Comedy,Romance",3.6
204,Being Human,"Drama,Fantasy,Comedy",3.3000000000000003
205,Amnesiac,"Drama,Mystery,Thriller,Horror",3.3000000000000003
206,The Christmas Candle,Drama,3.3000000000000003
207,The 11th Hour,"Drama,Thriller",3.2
208,6 Month Rule,Comedy,3.1
209,The Presidio,"Action,Mystery,Thriller,Crime",3.1
210,Chander Pahar (Mountains Of The Moon),Adventure,2.9000000000000004
211,"Literally, Right Before Aaron","Drama,Comedy",2.8000000000000003
212,Chloe and Theo,"Drama,Comedy",2.4000000000000004
213,30 Beats,"Comedy,Romance",2.0
214,Nashville,"Drama,Comedy,Music",9.600000000000001
215,Stagecoach,"Adventure,Drama,Western",9.3
216,An American in Paris,"Drama,Romance,Musical",8.4
217,Carmine Street Guitars,Documentary,8.200000000000001
218,Cousin Jules,Documentary,8.1
219,Living in Oblivion,"Drama,Comedy",8.1
220,Midnight Traveler,"War,Documentary",8.0
221,All Is Well,Drama,8.0
222,Quest for Fire,"Adventure,Drama,History",7.9
223,Hotel by the River,Drama,7.9
224,Two Family House,Drama,7.9
225,"Love, Antosha","Biography,Music,Documentary",7.800000000000001
226,Henri Langlois: The Phantom of the Cinematheque,"Biography,History,Documentary",7.800000000000001
227,Hooligan Sparrow,"Drama,Crime,Documentary,News",7.800000000000001
228,Home of the Brave,Documentary,7.7
229,Presenting Princess Shaw,"Music,Documentary",7.7
230,"Sobibór, 14 octobre 1943, 16 heures","History,Documentary",7.7
231,Miles Davis: Birth of the Cool,"Music,Documentary",7.6000000000000005
232,A Place in the Sun,"Drama,Romance",7.6000000000000005
233,House Party,"Comedy,Romance,Music",7.6000000000000005
234,Anita O'Day: The Life of a Jazz Singer,"Music,Documentary",7.6000000000000005
235,Time to Choose,Documentary,7.5
236,Ballplayer: Pelotero,"Drama,Sport,Documentary",7.5
237,Notes on Blindness,"Drama,Documentary",7.5
238,Jeremiah Johnson,"Adventure,Drama,Western",7.5
239,Under The Wire,Documentary,7.5
240,Kids for Cash,"Drama,Crime,Documentary,News",7.5
241,Another Road Home,Documentary,7.5
242,Down from the Mountain,"Music,Documentary",7.5
243,Very Semi-Serious,Documentary,7.4
244,Raise Hell: The Life & Times of Molly Ivins,Documentary,7.4
245,Egg,Comedy,7.4
246,Chisholm '72: Unbought & Unbossed,Documentary,7.300000000000001
247,Werewolf,Drama,7.300000000000001
248,The Fall of Fujimori,Documentary,7.300000000000001
249,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,7.300000000000001
250,Knuckleball!,Documentary,7.300000000000001
251,Uprising (2013),"Action,History,Documentary,News",7.300000000000001
252,Berlin,Documentary,7.2
253,Full Battle Rattle,Documentary,7.2
254,The Great Invisible,Documentary,7.2
255,When I Saw You,Drama,7.2
256,Dormant Beauty,Drama,7.2
257,Thirst Street,"Drama,Comedy,Romance",7.1000000000000005
258,On the Town,"Comedy,Romance,Musical",7.1000000000000005
259,"Never Steady, Never Still",Drama,7.0
260,Sworn Virgin,Drama,7.0
261,Where's My Roy Cohn?,Documentary,7.0
262,The Duellists,"Drama,War",7.0
263,Our Father,Drama,7.0
264,Bob Roberts,"Drama,Comedy",7.0
265,Gabrielle,"Drama,Romance,Music",7.0
266,Wait for Your Laugh,"Comedy,Documentary",7.0
267,The Eyes of Tammy Faye,"Biography,Documentary",6.9
268,Youth,"Drama,Romance",6.9
269,Melody Time,"Music,Animation,Family,Musical",6.9
270,10,"Comedy,Romance",6.800000000000001
271,Police Story 2 (1988),"Action,Thriller,Comedy,Crime",6.800000000000001
272,The President's Last Bang,"Drama,History,Comedy,Crime",6.800000000000001
273,A Dry White Season,"Drama,Thriller",6.800000000000001
274,Storm Boy,"Adventure,Drama,Family",6.7
275,Pianomania,"Music,Documentary",6.7
276,Harmony and Me,Comedy,6.7
277,Fiddler on the Roof,"Drama,Romance,Family,Musical",6.7
278,The Spy Behind Home Plate,Documentary,6.7
279,Smash & Grab: The Story of the Pink Panthers,"History,Thriller,Crime,Documentary",6.6000000000000005
280,Mosquita y Mari,Drama,6.6000000000000005
281,E-Team,Documentary,6.6000000000000005
282,Norman Lear: Just Another Version of You,"Biography,History,Documentary",6.6000000000000005
283,"White King, Red Rubber, Black Death","History,Documentary",6.5
284,They Call Us Monsters,Documentary,6.5
285,Touch Me Not,Drama,6.5
286,Don't Leave Home,"Mystery,Thriller,Horror",6.5
287,Teenage,"History,Documentary",6.4
288,Sister Helen,Documentary,6.4
289,West of Sunshine,"Drama,Crime",6.4
290,Tip Top,"Thriller,Comedy",6.4
291,Last Call at the Oasis,Documentary,6.4
292,Low Tide,"Drama,Thriller",6.4
293,Persons of Interest,Documentary,6.300000000000001
294,Hannah,Drama,6.300000000000001
295,Klitschko,"Biography,Sport,Documentary",6.300000000000001
296,Little Jerusalem,Drama,6.300000000000001
297,Seoul Searching,"Drama,Comedy,Romance",6.300000000000001
298,Night Shift,Comedy,6.2
299,Dreams of a Life,"Drama,Documentary",6.2
300,We Are the Flesh,"Drama,Fantasy,Horror",6.2
301,The Last Mountain,Documentary,6.2
302,Girls Rock!,"Music,Documentary",6.2
303,Princesa,"Drama,Romance",6.2
304,Farmageddon,"Documentary,News",6.2
305,Before You Know It,"Drama,Comedy",6.1000000000000005
306,The Quest of Alain Ducasse,Documentary,6.1000000000000005
307,The Backyard,Documentary,6.1000000000000005
308,Bicycling With Molière,"Drama,Comedy",6.1000000000000005
309,Resurrect Dead: The Mystery of the Toynbee Tiles,Documentary,6.0
310,Mrs. Hyde,Drama,6.0
311,The Outrageous Sophie Tucker,Documentary,5.9
312,Mr. Holland's Opus,"Drama,Music",5.9
313,Love! Valour! Compassion!,"Drama,Comedy,Romance",5.9
314,A Land Imagined,Mystery,5.9
315,24 Days,"Drama,Thriller",5.9
316,Where Soldiers Come From,Documentary,5.800000000000001
317,Bottom of the 9th,Drama,5.800000000000001
318,The House of Tomorrow,"Drama,Comedy",5.800000000000001
319,Go Further,Documentary,5.800000000000001
320,Free Radicals,"Drama,Romance",5.800000000000001
321,Somebody Up There Likes Me,Comedy,5.800000000000001
322,The Notebook,"Drama,War",5.7
323,The Laundromat,Drama,5.7
324,Cet amour-là,Drama,5.7
325,Three Peaks,Drama,5.7
326,Backstage,"Drama,Music",5.7
327,Saudate for the Future,"Music,Documentary",5.7
328,How to Live Forever,Documentary,5.7
329,Collaborator,"Drama,Comedy",5.6000000000000005
330,The Misandrists,"Drama,Comedy",5.6000000000000005
331,Rollerball,"Action,Sci-Fi,Sport",5.6000000000000005
332,Claire Dolan,Drama,5.6000000000000005
333,Tiger Eyes,Drama,5.6000000000000005
