,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
50,Once Upon a Time in the West,1968,2h 46m,PG-13,Sergio Leone,"Henry Fonda , Frank , Charles Bronson , Harmonica , Claudia Cardinale , Jill McBain , Jason Robards , Manuel 'Cheyenne' Gutiérrez , Gabriele Ferzetti , Morton - Railroad Baron , Paolo Stoppa , Sam , Woody Strode , Stony - Member of Frank's Gang , Jack Elam , Snaky - Member of Frank's Gang , Keenan Wynn , Sheriff - Auctioneer , Frank Wolff , Brett McBain , Lionel Stander , Barman , Livio Andronico , Bit part(uncredited) , Salvatore Basile , Member of Cheyenne's Gang(uncredited) , Aldo Berti , Member of Frank's Gang Playing Poker , Joseph Bradley , Train Station Master(uncredited) , Frank Braña , Member of Frank's Gang Smoking Pipe at Auction , Marilù Carteny , Mourner at Brett McBain's Funeral(uncredited) , Saturno Cerra , Member of Frank's Gang on Train(uncredited)",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,51,8.5,"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
51,Rear Window,1954,1h 52m,PG,Alfred Hitchcock,"James Stewart , L.B. Jefferies , Grace Kelly , Lisa Fremont , Wendell Corey , Tom Doyle , Thelma Ritter , Stella , Raymond Burr , Lars Thorwald , Judith Evelyn , Miss Lonelyhearts , Ross Bagdasarian , Songwriter , Georgine Darcy , Miss Torso , Sara Berner , Woman on Fire Escape , Frank Cady , Man on Fire Escape , Jesslyn Fax , Miss Hearing Aid , Rand Harper , Newlywed , Irene Winston , Emma Thorwald , Havis Davenport , Newlywed , Jerry Antes , Dancer with Miss Torso(uncredited) , Barbara Bailey , Choreographer with Miss Torso(uncredited) , Benny Bartlett , Man with Miss Torso(uncredited) , Nick Borgani , Minor Role(uncredited)","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",52,8.5,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
52,Alien,1979,1h 57m,R,Ridley Scott,"Sigourney Weaver , Ripley , Tom Skerritt , Dallas , John Hurt , Kane , Veronica Cartwright , Lambert , Harry Dean Stanton , Brett , Ian Holm , Ash , Yaphet Kotto , Parker , Bolaji Badejo , Alien , Helen Horton , Mother(voice) , Eddie Powell , Alien(uncredited)",The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,53,8.5,"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
53,City Lights,1931,1h 27m,G,Charles Chaplin,Charles Chaplin as A Tramp(as Charlie Chaplin) as Virginia Cherrill as A Blind Girl as Florence Lee as The Blind Girl's Grandmother as Harry Myers as An Eccentric Millionaire as Al Ernest Garcia as The Millionaire's Butler(as Allan Garcia) as Hank Mann as A Prizefighter as Johnny Aber as Newsboy(uncredited) as Jack Alexander as Boxing Match Spectator(uncredited) as T.S. Alexander as Doctor(uncredited) as Victor Alexander as Superstitious Boxer(uncredited) as Albert Austin as Street Sweeper(uncredited)… as Harry Ayers as Cop(uncredited) as Eddie Baker as Boxing Fight Referee(uncredited) as Henry Bergman as Mayor(uncredited)… as Edward Biby as Nightclub Patron(uncredited) as Betty Blair as Woman at Center of Table in Restaurant as Buster Brodie as Bald Party Guest(uncredited) as Jeanne Carpenter as Diner in Restaurant(uncredited),"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",54,8.5,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
54,Apocalypse Now,1979,2h 27m,R,Francis Ford Coppola,"Martin Sheen , Capt. Benjamin L. Willard , Marlon Brando , Col. Walter E. Kurtz , Robert Duvall , Lt. Col. Bill Kilgore , Frederic Forrest , EN3 Jay 'Chef' Hicks , Sam Bottoms , GM3 Lance B. Johnson , Laurence Fishburne , GM3 Tyrone 'Clean' Miller(as Larry Fishburne) , Albert Hall , CPO George Phillips , Harrison Ford , Colonel Lucas , Dennis Hopper , Photojournalist , G.D. Spradlin , General R. Corman , Jerry Ziesmer , Jerry, Civilian , Scott Glenn , Lt. Richard M. Colby , Bo Byers , MP Sergeant #1 , James Keane , Kilgore's Gunner , Kerry Rossall , Mike from San Diego , Ron McQueen , Injured Soldier , Tom Mason , Supply Sergeant , Cynthia Wood , Playmate of the Year",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,55,8.4,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg"
55,Memento,2000,1h 53m,R,Christopher Nolan,"Guy Pearce , Leonard , Carrie-Anne Moss , Natalie , Joe Pantoliano , Teddy , Mark Boone Junior , Burt , Russ Fega , Waiter , Jorja Fox , Leonard's Wife , Stephen Tobolowsky , Sammy Jankis , Harriet Sansom Harris , Mrs. Jankis , Thomas Lennon , Doctor , Callum Keith Rennie , Dodd , Kimberly Campbell , Blonde , Marianne Muellerleile , Tattooist , Larry Holden , Jimmy , Stephanie Searson , Jimmy's Daughter(uncredited) , Buzz Visconti , Motel Guest(uncredited)",A man with short-term memory loss attempts to track down his wife's murderer.,56,8.4,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
56,Django Unchained,2012,2h 45m,R,Quentin Tarantino,"Jamie Foxx , Django , Christoph Waltz , Dr. King Schultz , Leonardo DiCaprio , Calvin Candie , Kerry Washington , Broomhilda von Shaft , Samuel L. Jackson , Stephen , Walton Goggins , Billy Crash , Dennis Christopher , Leonide Moguy , James Remar , Butch Pooch… , David Steen , Mr. Stonesipher , Dana Gourrier , Cora , Nichole Galicia , Sheba , Laura Cayouette , Lara Lee Candie-Fitzwilly , Ato Essandoh , D'Artagnan , Sammi Rotibi , Rodney , Clay Donahue Fontenot , Big Fred's Opponent , Escalante Lundy , Big Fred , Miriam F. Glover , Betina , Don Johnson , Big Daddy","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",57,8.5,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
57,Raiders of the Lost Ark,1981,1h 55m,PG,Steven Spielberg,"Harrison Ford , Indy , Karen Allen , Marion , Paul Freeman , Belloq , John Rhys-Davies , Sallah , Ronald Lacey , Toht , Denholm Elliott , Brody , Alfred Molina , Satipo , Wolf Kahler , Dietrich , Anthony Higgins , Gobler , Vic Tablian , Barranca… , Don Fellows , Col. Musgrove , William Hootkins , Major Eaton , Bill Reimbold , Bureaucrat , Fred Sorenson , Jock , Patrick Durkin , Australian Climber , Matthew Scurfield , 2nd. Nazi , Malcolm Weaver , Ratty Nepalese(as Malcom Weaver) , Sonny Caldinez , Mean Mongolian","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",58,8.4,"https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg"
58,WALL·E,2008,1h 38m,G,Andrew Stanton,"Ben Burtt , WALL·E(voice)… , Elissa Knight , EVE(voice) , Jeff Garlin , Captain(voice) , Fred Willard , Shelby Forthright - BNL CEO , MacInTalk , AUTO(voice) , John Ratzenberger , John(voice) , Kathy Najimy , Mary(voice) , Sigourney Weaver , Ship's Computer(voice) , Brian Cummings , Aliens(uncredited)… , Karleen Griffin , Mom(uncredited)… , Kim Kopf , Hoverchair Mother(uncredited) , Niki McElroy , Pool Mother(uncredited) , Garrett Palmer , Blond Boy in Commercial(uncredited) , Jessica Skelton , Young Girlfriend(uncredited) , Kai Steel Smith , Brunette Boy in Commercial(uncredited) , Michael Toy , Commercial Human(uncredited)","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",59,8.4,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
59,The Lives of Others,2006,2h 17m,R,Florian Henckel von Donnersmarck,Ulrich Mühe as Hauptmann Gerd Wiesler as Martina Gedeck as Christa-Maria Sieland as Sebastian Koch as Georg Dreyman as Ulrich Tukur as Oberstleutnant Anton Grubitz as Thomas Thieme as Minister Bruno Hempf as Hans-Uwe Bauer as Paul Hauser as Volkmar Kleinert as Albert Jerska as Matthias Brenner as Karl Wallner as Charly Hübner as Udo as Herbert Knaup as Gregor Hessenstein as Bastian Trost as Häftling 227 as Marie Gruber as Frau Meineke as Volker Zack as Schriftexperte(as Zack Volker Michalowski) as Werner Daehn as Einsatzleiter in Uniform as Martin Brambach as Einsatzleiter Meyer as Hubertus Hartmann as Egon Schwalber as Thomas Arnold as Nowack as Hinnerk Schönemann as Unterleutnant Axel Stigler,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",60,8.4,"https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
60,Sunset Blvd.,1950,1h 50m,Passed,Billy Wilder,"William Holden , Joe Gillis , Gloria Swanson , Norma Desmond , Erich von Stroheim , Max Von Mayerling , Nancy Olson , Betty Schaefer , Fred Clark , Sheldrake , Lloyd Gough , Morino , Jack Webb , Artie Green , Franklyn Farnum , Undertaker , Larry J. Blake , 1st Finance Man(as Larry Blake) , Charles Dayton , 2nd Finance Man , Cecil B. DeMille , Cecil B. DeMille , Hedda Hopper , Hedda Hopper , Buster Keaton , Buster Keaton , Anna Q. Nilsson , Anna Q. Nilsson , H.B. Warner , H. B. Warner , Ray Evans , Ray Evans , Jay Livingston , Jay Livingston , Fred Aldrich , Cop Who Drags Joe's Body from Pool",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,61,8.4,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
61,Paths of Glory,1957,1h 28m,Approved,Stanley Kubrick,"Kirk Douglas , Col. Dax , Ralph Meeker , Cpl. Philippe Paris , Adolphe Menjou , Gen. George Broulard , George Macready , Gen. Paul Mireau , Wayne Morris , Lt. Roget , Richard Anderson , Maj. Saint-Auban , Joe Turkel , Pvt. Pierre Arnaud(as Joseph Turkel) , Christiane Kubrick , German Singer(as Susanne Christian) , Jerry Hausner , Proprietor of Cafe , Peter Capell , Narrator of Opening Sequence… , Emile Meyer , Father Dupree , Bert Freed , Sgt. Boulanger , Kem Dibbs , Pvt. Lejeune , Timothy Carey , Pvt. Maurice Ferol , Fred Bell , Shell-Shocked Soldier , John Stein , Capt. Rousseau - Battery Commander , Harold Benedict , Capt. Nichols - Artillery Spotter , Leon Briggs , Capt. Sancy(uncredited)","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",62,8.4,"https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg"
62,Avengers: Infinity War,2018,2h 29m,PG-13,Anthony Russo,"Robert Downey Jr. , Tony Stark… , Chris Hemsworth , Thor , Mark Ruffalo , Bruce Banner… , Chris Evans , Steve Rogers… , Scarlett Johansson , Natasha Romanoff… , Don Cheadle , James Rhodes… , Benedict Cumberbatch , Doctor Strange , Tom Holland , Peter Parker… , Chadwick Boseman , T'Challa… , Zoe Saldana , Gamora , Karen Gillan , Nebula , Tom Hiddleston , Loki , Paul Bettany , Vision , Elizabeth Olsen , Wanda Maximoff… , Anthony Mackie , Sam Wilson… , Sebastian Stan , Bucky Barnes… , Idris Elba , Heimdall , Danai Gurira , Okoye",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,63,8.4,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
63,The Shining,1980,2h 26m,R,Stanley Kubrick,"Jack Nicholson , Jack Torrance , Shelley Duvall , Wendy Torrance , Danny Lloyd , Danny , Scatman Crothers , Hallorann , Barry Nelson , Ullman , Philip Stone , Grady , Joe Turkel , Lloyd , Anne Jackson , Doctor , Tony Burton , Durkin , Lia Beldam , Young Woman in Bath , Billie Gibson , Old Woman in Bath , Barry Dennen , Watson , David Baxt , Forest Ranger 1 , Manning Redwood , Forest Ranger 2 , Lisa Burns , Grady Daughter , Louise Burns , Grady Daughter , Robin Pappas , Nurse , Alison Coleridge , Secretary","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",64,8.4,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,4,190,281_.jpg"
64,The Great Dictator,1940,2h 5m,G,Charles Chaplin,"Charles Chaplin , Hynkel - Dictator of Tomania… , Paulette Goddard , Hannah , Jack Oakie , Napaloni - Dictator of Bacteria , Reginald Gardiner , Schultz , Henry Daniell , Garbitsch , Billy Gilbert , Herring , Grace Hayle , Madame Napaloni , Carter DeHaven , Bacterian Ambassador(as Carter De Haven) , Maurice Moscovitch , Mr. Jaeckel(as Maurice Moscovich) , Emma Dunn , Mrs. Jaeckel , Bernard Gorcey , Mr. Mann , Paul Weigel , Mr. Agar , Chester Conklin , Barber's Customer , Esther Michelson , Jewish Woman , Hank Mann , Storm Trooper Stealing Fruit , Florence Wright , Blonde Secretary , Eddie Gribbon , Tomanian Storm Trooper , Rudolph Anders , Tomanian Commandant at Osterlich",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,65,8.4,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg"
65,Witness for the Prosecution,1957,1h 56m,Approved,Billy Wilder,"Tyrone Power , Leonard Vole , Marlene Dietrich , Christine , Charles Laughton , Sir Wilfrid Robarts , Elsa Lanchester , Miss Plimsoll , John Williams , Brogan-Moore , Henry Daniell , Mayhew , Ian Wolfe , Carter , Torin Thatcher , Mr. Myers , Norma Varden , Mrs. Emily Jane French , Una O'Connor , Janet MacKenzie , Francis Compton , Judge , Philip Tonge , Inspector Hearne , Ruta Lee , Diana , Patrick Aherne , Court Officer(uncredited) , Don Ames , Bar Patron(uncredited) , Walter Bacon , Bar Patron(uncredited) , Eddie Baker , Courtroom Spectator(uncredited) , Benjie Bancroft , Courtroom Spectator(uncredited)",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,66,8.4,"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
66,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,Bob Persichetti,"Shameik Moore , Miles Morales(voice) , Jake Johnson , Peter B. Parker(voice) , Hailee Steinfeld , Gwen Stacy(voice) , Mahershala Ali , Uncle Aaron(voice) , Brian Tyree Henry , Jefferson Davis(voice) , Lily Tomlin , Aunt May(voice) , Luna Lauren Velez , Rio Morales(voice) , Zoë Kravitz , Mary Jane(voice) , John Mulaney , Spider-Ham(voice) , Kimiko Glenn , Peni Parker(voice) , Nicolas Cage , Spider-Man Noir(voice) , Kathryn Hahn , Doc Ock(voice) , Liev Schreiber , Wilson Fisk(voice) , Chris Pine , Peter Parker(voice) , Natalie Morales , Miss Calleros(voice) , Edwin R. Habacon , Brooklyn Visions Security Guard(voice) , Oscar Isaac , Interesting Person #1(voice) , Greta Lee , Interesting Person #2(voice)",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,67,8.4,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
67,Aliens,1986,2h 17m,R,James Cameron,"Sigourney Weaver , Ripley , Michael Biehn , Corporal Hicks , Carrie Henn , Newt , Paul Reiser , Burke , Lance Henriksen , Bishop , Bill Paxton , Private Hudson , William Hope , Lieutenant Gorman , Jenette Goldstein , Private Vasquez , Al Matthews , Sergeant Apone , Mark Rolston , Private Drake , Ricco Ross , Private Frost , Colette Hiller , Corporal Ferro , Daniel Kash , Private Spunkmeyer , Cynthia Dale Scott , Corporal Dietrich(as Cynthia Scott) , Tip Tipping , Private Crowe , Trevor Steedman , Private Wierzbowski , Paul Maxwell , Van Leuwen , Valerie Colgan , ECA Rep","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",68,8.4,"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
68,Inglourious Basterds,2009,2h 33m,R,Quentin Tarantino,"Brad Pitt , Lt. Aldo Raine , Diane Kruger , Bridget von Hammersmark , Eli Roth , Sgt. Donny Donowitz , Mélanie Laurent , Shosanna , Christoph Waltz , Col. Hans Landa , Michael Fassbender , Lt. Archie Hicox , Daniel Brühl , Fredrick Zoller , Til Schweiger , Sgt. Hugo Stiglitz , Gedeon Burkhard , Cpl. Wilhelm Wicki , Jacky Ido , Marcel , B.J. Novak , Pfc. Smithson Utivich , Omar Doom , Pfc. Omar Ulmer , August Diehl , Major Hellstrom , Denis Ménochet , Perrier LaPadite , Sylvester Groth , Joseph Goebbels , Martin Wuttke , Hitler , Mike Myers , General Ed Fenech , Julie Dreyfus , Francesca Mondino","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",69,8.4,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
69,The Dark Knight Rises,2012,2h 44m,PG-13,Christopher Nolan,"Christian Bale , Bruce Wayne… , Tom Hardy , Bane , Anne Hathaway , Selina , Gary Oldman , Commissioner Gordon , Joseph Gordon-Levitt , Blake , Marion Cotillard , Miranda , Morgan Freeman , Fox , Michael Caine , Alfred , Matthew Modine , Foley , Alon Aboutboul , Dr. Pavel(as Alon Moni Aboutboul) , Ben Mendelsohn , Daggett , Burn Gorman , Stryver , Daniel Sunjata , Captain Jones , Aidan Gillen , CIA Op , Sam Kennard , Special Ops Sergeant , Aliash Tepina , Hooded Man #2 , Nestor Carbonell , Mayor , Brett Cullen , Congressman","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",70,8.4,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
70,American Beauty,1999,2h 2m,R,Sam Mendes,"Kevin Spacey , Lester Burnham , Annette Bening , Carolyn Burnham , Thora Birch , Jane Burnham , Wes Bentley , Ricky Fitts , Mena Suvari , Angela Hayes , Peter Gallagher , Buddy Kane , Allison Janney , Barbara Fitts , Chris Cooper , Colonel Fitts , Scott Bakula , Jim Olmeyer , Sam Robards , Jim Berkley , Barry Del Sherman , Brad , Ara Celi , Sale House Woman #1 , John Cho , Sale House Man #1 , Fort Atkinson , Sale House Man #2 , Sue Casey , Sale House Woman #2 , Kent Faulcon , Sale House Man #3 , Brenda Wehle , Sale House Women #4 , Lisa Cloud , Sale House Women #4",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,71,8.3,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,Stanley Kubrick,"Peter Sellers , Group Capt. Lionel Mandrake… , George C. Scott , Gen. 'Buck' Turgidson , Sterling Hayden , Brig. Gen. Jack D. Ripper , Keenan Wynn , Col. 'Bat' Guano , Slim Pickens , Maj. 'King' Kong , Peter Bull , Russian Ambassador Alexi de Sadesky , James Earl Jones , Lt. Lothar Zogg , Tracy Reed , Miss Scott , Jack Creley , Mr. Staines , Frank Berry , Lt. H.R. Dietrich , Robert O'Neil , Adm. Randolph , Glenn Beck , Lt. Kivel(as Glen Beck) , Roy Stephens , Frank , Shane Rimmer , Capt. 'Ace' Owens , Hal Galili , Burpelson AFB Defense Team Member , Paul Tamarin , Lt. Goldberg , Laurence Herder , Burpelson AFB Defense Team Member , Gordon Tanner , Gen. Faceman","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",72,8.4,"https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg"
72,Oldboy,2003,2h,R,Park Chan-wook,"Choi Min-sik , Dae-su Oh , Yoo Ji-tae , Woo-jin Lee , Kang Hye-jeong , Mi-do , Kim Byeong-Ok , Mr. Han , Dae-han Ji , No Joo-hwan , Dal-su Oh , Park Cheol-woong , Seung-shin Lee , Yoo Hyung-ja(as Seung-Shin Lee) , Jin-Seo Yoon , Lee Soo-ah , Tae-kyung Oh , Young Dae-su , Yoo Yeon-Seok , Young Woo-Jin(as Ahn Yeon-Seok) , Il-han Oo , Young Joo-hwan , Young-hee Lee , Clock Store Lady , Young-ae Kim , Elevator Lady , Mi Mi Lee , Dental Nurse , Jae-Duk Han , Night Teacher , Jung Ae Kwak , Nun Teacher , San Kim , Electronics Store Owner , Chae-soo Jang , Woo-jin's Doctor","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",73,8.4,"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
73,Coco,2017,1h 45m,PG,Lee Unkrich,"Anthony Gonzalez , Miguel(voice) , Gael García Bernal , Héctor(voice) , Benjamin Bratt , Ernesto de la Cruz(voice) , Alanna Ubach , Mamá Imelda(voice) , Renee Victor , Abuelita(voice)(as Renée Victor) , Jaime Camil , Papá(voice) , Alfonso Arau , Papá Julio(voice) , Herbert Siguenza , Tío Oscar(voice)… , Gabriel Iglesias , Clerk(voice) , Lombardo Boyar , Plaza Mariachi(voice)… , Ana Ofelia Murguía , Mamá Coco(voice) , Natalia Cordova-Buckley , Frida Kahlo(voice) , Selene Luna , Tía Rosita(voice) , Edward James Olmos , Chicharrón(voice) , Sofía Espinosa , Mamá(voice) , Carla Medina , Departures Agent(voice) , Dyana Ortelli , Tía Victoria(voice) , Luis Valdez , Tío Berto(voice)…","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",74,8.4,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY281_CR4,0,190,281_.jpg"
74,Amadeus,1984,2h 40m,PG,Milos Forman,"F. Murray Abraham , Antonio Salieri , Tom Hulce , Wolfgang Amadeus Mozart , Elizabeth Berridge , Constanze Mozart , Roy Dotrice , Leopold Mozart , Simon Callow , Emanuel Schikaneder , Christine Ebersole , Katerina Cavalieri , Jeffrey Jones , Emperor Joseph II , Charles Kay , Count Orsini-Rosenberg , Kenneth McMillan , Michael Schlumberg (2002 Director's Cut) , Kenny Baker , Parody Commendatore , Lisbeth Bartlett , Papagena(as Lisabeth Bartlett) , Barbara Bryne , Frau Weber , Martin Cavina , Young Salieri(as Martin Cavani) , Roderick Cook , Count Von Strack , Milan Demjanenko , Karl Mozart , Peter DiGesu , Francesco Salieri , Richard Frank , Father Vogler , Patrick Hines , Kappelmeister Bonno","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",75,8.4,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
